"","ID","AIC_quadratic","BIC_quadratic","AIC_logistic","BIC_logistic","r_max","K","N_0"
"75",75,-45.3153196351545,-42.2249647461953,-29.5015462896211,-26.411191400662,0.0092927103714113,-4891237.53053291,0.135918466500348
"76",76,-37.5459283405728,-34.4555734516136,-14.6870235785605,-11.5966686896013,0.00302546407376274,-458364.398081407,0.14162722624737
"77",77,-58.353269467812,-55.5210686634031,-35.8788831666517,-33.0466823622428,0.0062221137841057,-616087.244186886,0.0952384508082573
"78",78,-54.1798092727648,-51.0894543838057,-43.0999220623215,-40.0095671733624,0.00534537665576765,-522997.105652327,0.0807656476249263
"79",79,13.4515854883813,17.013072519966,16.7058706232247,20.2673576548093,0.00326914540632206,-384680.502968457,0.650524188492025
"80",80,13.2243692065684,16.7858562381531,17.7358289353916,21.2973159669763,0.000365551322803747,-9466077.17363552,0.458209834717516
"81",81,-37.9778143046387,-34.8874594156795,-14.9614998154159,-11.8711449264568,0.00293399794365127,-207038.223764073,0.142827416721196
"82",82,3.09212643762369,6.42497981384855,-15.3417839405475,-12.0089305643227,1.11065043452807,0.463391873755877,0.00101949583363126
"83",83,11.0712939034198,14.4041472796447,13.8803391123561,17.213192488581,-0.00334242022667344,-671894.296107014,0.479032450087435
"84",84,-60.4889549584811,-57.6567541540722,-49.4649534973588,-46.6327526929499,0.00325135434782895,-77702.6105459161,0.0703352468719763
"85",85,-61.8094184088044,-58.9772176043956,-44.5855803045691,-41.7533795001603,0.0062487604190659,-1781180.1694196,0.0562814213686659
"86",86,8.64242251544754,11.9752758916724,11.328191617962,14.6610449941868,0.00313090714029546,-314677.966865735,0.647876289156171
"87",87,-62.0853390273517,-58.7524856511268,-72.2708429211827,-68.9379895449578,0.21671256814086,0.315441533908754,0.0240677374468823
"88",88,-25.2104639792336,-21.8776106030087,-3.94399235370813,-0.611138977483261,0.00738532529689584,-6264508.49075366,0.229499379542813
"89",89,959.337244023162,967.142218897487,991.449249133379,999.254224007704,0.00205703490372277,-352807049931.116,2951.18633970274
"90",90,992.193542233316,1000.14947841957,1051.90596235445,1059.8618985407,0.00147829985489815,-276131575934.356,5293.59831208093
"91",91,1209.39063572226,1217.96317462783,1153.06728253715,1161.63982144272,0.0392969040723091,17493.125952357,16.6740942986793
"92",92,1191.79752166269,1200.5561406308,1215.31321504812,1224.07183401622,0.000915887311686766,-88139285128.3305,5469.57703659968
"93",93,977.269212737915,985.441417809253,988.662825488241,996.835030559579,0.00137899714225217,-23568215629.5212,1359.60376050394
"94",94,98.477500795342,99.2663991046869,97.6748834320582,98.4637817414031,0.0102355939380108,-67327866471.1048,2.53942244421585
"95",95,78.5163711218505,78.8341372885698,86.5432825794032,86.8610487461225,0.00539699289082324,-7313781201.86207,13.6958380610183
"96",96,196.712906090213,199.269135408674,203.079167844869,205.63539716333,0.00945590988822663,-243777405289.978,79.320117987827
"97",97,148.540767902616,150.132348993809,157.96803865851,159.559619749703,0.018897539116993,-313359181288.895,45.9134790014415
"98",98,100.703896210295,101.49279451964,101.98780317518,102.776701484525,0.0405217359907375,-91575102759.2439,9.48815017564986
"99",99,103.783015238752,104.571913548097,111.337433552538,112.126331861882,0.0769346602984865,-46534599264.8884,13.6233545506478
"100",100,108.313690091531,109.524030463507,96.8251431611973,98.0354835331735,0.00975439117001501,-55111542850.6505,2.31814601051562
"101",101,75.640269161583,74.8073070384953,78.5871779222549,77.7542157991671,0.00538788236076867,-2601064909.74109,26.0574139236029
"102",102,177.852386443884,180.11218387373,184.263244243348,186.523041673194,0.011548367922054,-384084328100.162,34.3456269481134
"103",103,186.391350933077,188.651148362923,192.720464345233,194.980261775079,0.0155998404331672,320054887354.5,77.1255538658943
"104",104,172.755252146619,174.694878745771,180.182197073941,182.121823673093,0.030514418231532,-275815204126.872,58.6378264393441
"105",105,133.836922301286,134.62582061063,98.4896819718635,99.2785802812084,0.135959519692995,-30725.2837145984,0.54454722357595
"106",106,65.7415924256382,66.9519327976144,72.7304088822858,73.940749254262,0.00256197884195848,-154510831.069676,4.71525984121608
"107",107,82.1924625177293,81.9761031139506,88.997731128426,88.7813717246472,0.00307764549104689,-1137510925.43813,47.2932335264837
"108",108,121.262305283838,123.522102713684,122.045455404424,124.30525283427,0.0134700722935905,-16907459703.6272,2.65675607930699
"109",109,117.814084104083,119.753710703235,118.665100135893,120.604726735045,0.0206857653852613,-51935910677.9599,8.08224677933005
"110",110,129.930042765339,131.521623856532,144.217141838609,145.808722929802,0.0350322302975769,107365274749.202,23.8113660715729
"111",111,124.411950903169,125.200849212514,115.137953277505,115.92685158685,0.101789962576215,-1301977316237.9,4.36378864504702
"112",112,131.201935052478,132.793516143671,140.008581808771,141.600162899965,0.00362135219548297,-36398807824.8028,55.8176803791863
"113",113,98.6035553143353,98.3871959105565,102.929837459909,102.71347805613,0.00527872943068535,-302574754078.263,96.312143681115
"114",114,131.806251795732,133.016592167709,135.113265442354,136.32360581433,0.00942584734399714,-23674421978.2573,28.6870635362722
"115",115,181.082269327857,183.342066757703,189.48077680489,191.740574234736,0.0163838211430945,-633008450339.021,73.9680125172284
"116",116,185.304819120379,187.244445719531,195.029404162815,196.969030761967,0.0309834455521006,5770747498726.41,119.407384731597
"117",117,130.794156539766,131.58305484911,125.925943953957,126.714842263302,0.0798217653142385,-1920855934567.26,23.8966574552841
"118",118,120.303615034803,121.895196125997,127.975065374453,129.566646465646,0.00374116007240929,-15896433126.4541,36.7017636839842
"119",119,75.5843594999776,75.3680000961989,81.3546351657804,81.1382757620016,0.00312543791663736,-832602347.096304,30.6331333988888
"120",120,118.046639229629,119.638220320822,123.673218771422,125.264799862615,0.0088637405543597,-1592762610.67989,13.9587550559113
"121",121,153.367320308149,155.627117737995,159.994169206693,162.253966636539,0.0135661989838039,-39004684123.4333,33.4357982334491
"122",122,131.858145447268,133.79777204642,144.556714022286,146.496340621438,0.0334681918571197,-91966482931.861,19.2365004405042
"123",123,89.3156309663324,89.6333971330517,95.5613263871331,95.8790925538524,0.078344522004629,-112707107760.067,6.98302058242172
"124",124,138.316228333469,139.526568705445,141.124775081238,142.335115453214,0.0101513589460801,3805.40899528563,11.3050117788011
"125",125,87.0996411664725,86.2666790433847,95.1888113245699,94.3558492014821,0.00262758673656761,-1987479543.38097,219.771843218935
"126",126,150.372474374951,152.632271804797,133.570608002598,135.830405432444,0.0225348274418846,2258.82240447691,1.12508621077923
"127",127,168.548062482291,170.139643573484,174.577912518158,176.169493609352,0.0182653895052971,-6593795097877.98,107.225222509515
"128",128,191.711362022861,193.650988622013,198.008789284865,199.948415884017,0.0343213298801035,91406882434924.4,133.223943160831
"129",129,123.61180672239,124.400705031735,113.613421701666,114.402320011011,0.105572076353585,1261530706687.27,8.99171132462468
"130",130,114.518996657532,115.729337029508,122.585239324601,123.795579696577,0.00671037067260737,-35862120710.3039,16.9012694687905
"131",131,90.3050046580387,89.4720425349509,93.2903244113046,92.4573622882168,0.00512387136767099,-16820511491.0818,94.7641264202076
"132",132,206.112658181831,208.372455611677,207.356158195194,209.61595562504,0.00897404765002084,29875968214.8314,77.8691336521587
"133",133,139.142542996759,141.082169595911,144.310046302242,146.249672901394,0.0163646595096221,-14342912582.5932,18.6754370407818
"134",134,141.727529860907,142.937870232883,146.32732452941,147.537664901386,0.0365507243531321,-626770784324.173,39.1611241085796
"135",135,100.090381929254,100.408148095973,103.13055909036,103.448325257079,0.0931033094468527,-19262674487.1528,6.90583438484809
"136",136,91.8012855131005,93.0116258850767,106.822487321461,108.032827693437,0.00586877726921268,-12292675839.4098,14.4392292486173
"137",137,76.5591709493761,75.7262088262883,81.0529691074824,80.2200069843946,0.00493083768193047,-6184470701.14989,42.3530366482761
"138",138,171.121427015915,173.677656334376,174.201349930023,176.757579248484,0.0136662853783939,-27523281472.6598,11.0869190712741
"139",139,149.968137622127,151.907764221279,154.447958496282,156.387585095434,0.0145969643721179,-115795973786.298,29.9744322979676
"140",140,69.4596873870228,70.2485856963677,88.7575472269034,89.5464455362483,0.0346761300734154,-60125690535.454,7.52115697397073
"141",141,66.7179645390298,65.885002415942,69.6038441065481,68.7708819834603,0.08160361600797,-7435498811.78198,3.52574629760361
"142",142,121.190019975984,121.978918285329,105.011593010968,105.800491320313,0.00977691460525734,-831572296862.61,6.61818151018566
"143",143,110.182187745225,109.965828341447,113.132179982343,112.915820578564,0.0073094021354795,-326138922255.192,52.4128951854745
"144",144,176.205387617423,178.465185047269,183.627571813105,185.887369242951,0.00962931551031973,-124886402543.567,54.8521017792131
"145",145,141.376438338987,143.316064938139,154.169008283904,156.108634883056,0.016830228392487,-211218178809.772,34.7853610594045
"146",146,125.98216426757,126.771062576914,123.317065416352,124.105963725697,0.0651381476460495,1635.51724697435,4.17707007545607
"147",147,106.927979065524,107.716877374869,110.174465177444,110.963363486789,0.0784210291614891,-16090420141.5966,5.97039945082482
"148",148,105.522304654716,106.732645026693,113.103311120501,114.313651492477,0.00679706383929393,-10121435185.4702,10.0313612319413
"149",149,220.993569169834,223.549798488295,223.325238274488,225.881467592949,0.00985773009946693,-1398800098809.54,88.6354901662519
"150",150,88.8227693588821,88.6064099551033,91.7128778370156,91.4965184332369,0.00548131700585249,-8823151234.74261,30.4300055402717
"151",151,113.384109422162,114.594449794138,121.079987058966,122.290327430942,0.0246522543276801,-192394457249.273,14.3151189095148
"152",152,118.239260859153,119.028159168498,125.400468194813,126.189366504158,0.0349314398320895,-269639179905.298,41.9584836392652
